	geneId	group	sample	cateRange	typeMethy	count	mean	std	min	25%	50%	75%	max
12	106990386	A	A0351	Distal	pmd	68.0	59.632893	27.197573	13.3325	34.690247	52.726997	85.76417	100.0
13	106990386	A	A0351	Distal	umr	15.0	46.943893	28.198166	8.3325	23.214287	50.000626	62.5	100.0
14	106990386	A	A0351	Upstream	hmd	11.0	57.752686	25.86105	25.0	38.75	50.0	74.72275	100.0
15	106990386	A	A0351	Upstream	pmd	14.0	68.86555	25.274433	25.0	47.686874	80.777084	86.013855	93.75
16	106990386	A	AH003	Body	hmd	6.0	36.21446	18.119318	15.0	20.833958	38.62417	46.42443	61.11
17	106990386	A	AH003	Body	pmd	14.0	40.3036	19.994118	9.26	29.792126	36.8675	53.365192	75.84929
18	106990386	A	AH003	Distal	hmd	52.0	64.218735	23.342138	8.3325	45.09156	63.121944	86.567085	100.0
19	106990386	A	AH003	Distal	lmr	3.0	49.791668	34.1546	25.0	30.3125	35.625	62.1875	88.75
20	106990386	A	AH003	Distal	pmd	68.0	55.09012	25.281452	12.5	33.77906	48.213753	81.28917	100.0
21	106990386	A	AH003	Distal	umr	15.0	51.556114	26.32977	16.6675	34.281136	42.1875	69.83222	95.0
22	106990386	A	AH003	Upstream	hmd	11.0	54.727844	21.441975	23.29857	40.8335	48.0	73.729996	89.977
23	106990386	A	AH003	Upstream	pmd	14.0	67.62295	26.094185	16.6675	51.012085	75.33792	88.05062	95.455
24	106990386	B	B0316	Body	hmd	4.0	40.722942	11.518418	33.333332	33.333332	35.984848	43.37446	57.58875
25	106990386	B	B0316	Body	lmr	1.0	0.0		0.0	0.0	0.0	0.0	0.0
26	106990386	B	B0316	Body	pmd	15.0	46.149914	22.582458	13.334	31.009615	36.45875	63.928574	87.5
27	106990386	B	B0316	Distal	hmd	67.0	56.649265	23.670063	0.0	41.666832	50.0	75.3475	100.0
28	106990386	B	B0316	Distal	lmr	5.0	23.667	33.049347	0.0	0.0	0.0	50.0	68.335
29	106990386	B	B0316	Distal	pmd	64.0	56.5746	27.676105	0.0	37.5	58.3345	82.56	100.0
30	106990386	B	B0316	Upstream	hmd	8.0	65.91671	23.94224	20.0	57.291668	73.25	82.5005	88.333
31	106990386	B	B0316	Upstream	pmd	17.0	63.097527	21.933458	37.5	43.546665	61.11	83.3325	100.0
32	106990386	B	B0351	Body	hmd	4.0	39.289562	7.7356496	33.333332	33.333332	37.121212	43.077446	49.5825
33	106990386	B	B0351	Body	lmr	1.0	0.0		0.0	0.0	0.0	0.0	0.0
34	106990386	B	B0351	Body	pmd	15.0	41.272915	21.427204	10.0	27.3485	35.714287	56.5625	84.723335
35	106990386	B	B0351	Distal	hmd	67.0	56.650364	23.826805	0.0	38.844666	50.0	75.94	96.155
36	106990386	B	B0351	Distal	lmr	5.0	20.639	32.311874	0.0	0.0	0.0	29.445	73.75
37	106990386	B	B0351	Distal	pmd	64.0	57.17012	29.085848	0.0	35.71396	56.946877	82.49875	100.0
38	106990386	B	B0351	Upstream	hmd	8.0	71.243286	24.096107	33.335	56.597084	79.501	87.916504	97.889
39	106990386	B	B0351	Upstream	pmd	17.0	64.38128	24.457697	20.485	46.875	76.145	80.35667	100.0
40	106990386	B	BH003	Body	hmd	4.0	38.446865	6.103781	33.333332	33.333332	37.49979	42.613323	45.454544
41	106990386	B	BH003	Body	lmr	1.0	0.0		0.0	0.0	0.0	0.0	0.0
42	106990386	B	BH003	Body	pmd	15.0	44.497417	24.917297	10.0	30.128204	35.714287	61.11111	100.0
43	106990386	B	BH003	Distal	hmd	67.0	58.392338	24.535597	0.0	41.333336	50.0	75.0	100.0
44	106990386	B	BH003	Distal	lmr	5.0	24.0	33.61547	0.0	0.0	0.0	50.0	70.0
45	106990386	B	BH003	Distal	pmd	64.0	57.313087	27.687845	0.0	40.864	56.77475	82.45125	100.0
46	106990386	B	BH003	Upstream	hmd	8.0	73.645836	21.487064	39.166668	59.375	77.5	90.625	100.0
47	106990386	B	BH003	Upstream	pmd	17.0	63.153595	20.26448	29.1975	45.96	70.21167	75.43875	96.43
48	106990386	C	C0316	Body	hmd	18.0	50.04596	28.608362	0.0	27.083332	50.833336	76.7719	92.855
49	106990386	C	C0316	Body	lmr	2.0	32.270386	22.741098	16.19	24.230192	32.270386	40.310577	48.35077
50	106990386	C	C0316	Distal	hmd	59.0	68.99409	21.868568	0.0	56.875	73.72833	87.5	98.4375
51	106990386	C	C0316	Distal	lmr	3.0	47.648754	35.085697	16.07	28.764376	41.45875	63.43813	85.4175
52	106990386	C	C0316	Distal	pmd	70.0	58.497078	25.422377	0.0	39.350002	61.087364	80.313126	100.0
53	106990386	C	C0316	Distal	umr	6.0	46.408356	23.5807	16.07	35.812187	42.256874	54.652916	85.4175
54	106990386	C	C0316	Upstream	hmd	25.0	65.13084	22.657457	25.0	50.001	64.58375	83.12625	100.0
55	106990386	C	C0351	Body	hmd	18.0	47.27826	25.51617	0.0	33.333332	46.309105	71.875626	84.363335
56	106990386	C	C0351	Body	lmr	2.0	49.14977	9.166606	42.668	45.908886	49.14977	52.390656	55.63154
57	106990386	C	C0351	Distal	hmd	59.0	67.38087	21.498919	0.0	56.25	72.9175	83.745316	93.939095
58	106990386	C	C0351	Distal	lmr	3.0	41.08798	28.742046	22.221428	24.548214	26.875	50.52125	74.1675
59	106990386	C	C0351	Distal	pmd	70.0	59.434116	24.447796	0.0	40.69375	64.113754	77.031	100.0
60	106990386	C	C0351	Distal	umr	6.0	50.338806	21.29443	22.221428	33.00347	57.241943	63.987503	74.1675
61	106990386	C	C0351	Upstream	hmd	25.0	64.30324	20.448593	25.0	50.0	66.66625	80.6825	96.333
62	106990386	C	CH003	Body	hmd	18.0	52.411087	27.305273	0.0	33.75	50.0	71.875	100.0
63	106990386	C	CH003	Body	lmr	2.0	64.61539	6.5271373	60.0	62.307693	64.61539	66.92307	69.23077
64	106990386	C	CH003	Distal	hmd	59.0	71.27387	21.894518	0.0	56.666252	75.0	87.91667	100.0
65	106990386	C	CH003	Distal	lmr	3.0	71.2306	31.856821	34.524284	61.012142	87.5	89.583755	91.6675
66	106990386	C	CH003	Distal	pmd	70.0	61.50597	24.35544	0.0	45.833332	64.4025	81.175415	100.0
67	106990386	C	CH003	Distal	umr	6.0	69.463264	22.91256	34.524284	55.158333	77.47	85.3125	91.6675
68	106990386	C	CH003	Upstream	hmd	25.0	66.71893	24.183308	20.0	49.166668	70.83375	87.44375	100.0
69	106990386	D	D0316	Body	hmd	11.0	67.19809	24.428574	20.0	57.82856	66.666664	83.571785	100.0
70	106990386	D	D0316	Body	pmd	9.0	55.648148	21.464514	25.0	37.5	50.0	75.0	83.333336
71	106990386	D	D0316	Distal	hmd	65.0	61.68814	27.59877	0.0	43.451668	70.0	79.1675	100.0
72	106990386	D	D0316	Distal	lmr	3.0	41.36905	28.15451	12.5	27.678572	42.857143	55.803574	68.75
73	106990386	D	D0316	Distal	pmd	67.0	59.741783	29.032118	0.0	41.665833	60.5	86.61125	100.0
74	106990386	D	D0316	Upstream	hmd	10.0	63.85743	21.771496	37.5	50.0	54.204643	83.24975	100.0
75	106990386	D	D0316	Upstream	pmd	15.0	62.73556	28.092667	0.0	45.88822	72.05125	86.192505	93.333336
76	106990386	D	D0351	Body	hmd	11.0	61.34808	22.55947	26.666	43.88112	64.58375	73.61083	100.0
77	106990386	D	D0351	Body	pmd	9.0	49.040634	19.187437	20.8325	32.5	48.214287	66.666	70.833336
78	106990386	D	D0351	Distal	hmd	65.0	58.311504	24.311928	0.0	41.666668	61.0	79.1675	100.0
79	106990386	D	D0351	Distal	lmr	3.0	31.720596	33.51275	12.244286	12.372143	12.5	41.45875	70.4175
80	106990386	D	D0351	Distal	pmd	67.0	58.88896	28.10702	0.0	38.75	59.58375	85.034164	100.0
81	106990386	D	D0351	Upstream	hmd	10.0	58.235878	21.926275	25.0	47.9165	53.067383	76.5	90.0
82	106990386	D	D0351	Upstream	pmd	15.0	57.045097	25.153257	0.0	47.76882	62.7	76.963745	87.5
83	106990386	D	DH003	Body	hmd	11.0	62.491867	17.238914	37.5	46.76142	61.90333	76.52812	85.0
84	106990386	D	DH003	Body	pmd	9.0	47.601906	18.987398	24.445	30.0	44.61643	63.666	72.06333
85	106990386	D	DH003	Distal	hmd	65.0	58.87352	26.430107	0.0	42.235	58.5	82.14333	100.0
86	106990386	D	DH003	Distal	lmr	3.0	28.148214	27.879696	5.0	12.673572	20.347143	39.72232	59.0975
87	106990386	D	DH003	Distal	pmd	67.0	53.013756	27.418684	0.0	30.475834	54.58375	77.97375	100.0
88	106990386	D	DH003	Upstream	hmd	10.0	55.84072	19.999187	30.0	40.56306	54.610954	70.367	89.035
89	106990386	D	DH003	Upstream	pmd	15.0	58.35212	27.69055	0.0	42.828667	62.856667	78.541245	100.0
